TargetFractionFloor,ModelID,ParameterCount,Chi2,AIC,BIC,MeanSigmaEffective,MinSigmaEffective,MaxSigmaEffective,ClaimBoundary
0.25,ZERO_RESPONSE_CONTROL,0,113.79559128573122,113.79559128573122,113.79559128573122,0.5633898465084866,0.0904224520916678,1.2753463014723203,error_floor_sweep_only_no_measurement_validation
0.25,POLY_DEG2,3,217.23767114729856,223.23767114729856,223.47599577233805,0.5633898465084866,0.0904224520916678,1.2753463014723203,error_floor_sweep_only_no_measurement_validation
0.25,POLY_DEG3,4,193.7993339354342,201.7993339354342,202.11710010215353,0.5633898465084866,0.0904224520916678,1.2753463014723203,error_floor_sweep_only_no_measurement_validation
0.26,K1_NO_MEMORY,0,87.87460078785486,87.87460078785486,87.87460078785486,0.5854733281083677,0.0904224520916678,1.326360153531213,error_floor_sweep_only_no_measurement_validation
0.26,K2_LOCKED_RHO4,0,60.03403657023701,60.03403657023701,60.03403657023701,0.5854733281083677,0.0904224520916678,1.326360153531213,error_floor_sweep_only_no_measurement_validation
0.26,ZERO_RESPONSE_CONTROL,0,105.34588714371938,105.34588714371938,105.34588714371938,0.5854733281083677,0.0904224520916678,1.326360153531213,error_floor_sweep_only_no_measurement_validation
0.26,POLY_DEG2,3,216.06860973678235,222.06860973678235,222.30693436182185,0.5854733281083677,0.0904224520916678,1.326360153531213,error_floor_sweep_only_no_measurement_validation
0.26,POLY_DEG3,4,193.21276584606417,201.21276584606417,201.5305320127835,0.5854733281083677,0.0904224520916678,1.326360153531213,error_floor_sweep_only_no_measurement_validation
0.27,K1_NO_MEMORY,0,81.61612942680941,81.61612942680941,81.61612942680941,0.6075568097082489,0.0904224520916678,1.377374005590106,error_floor_sweep_only_no_measurement_validation
0.27,K2_LOCKED_RHO4,0,55.79924806644994,55.79924806644994,55.79924806644994,0.6075568097082489,0.0904224520916678,1.377374005590106,error_floor_sweep_only_no_measurement_validation
0.27,ZERO_RESPONSE_CONTROL,0,97.81753915953094,97.81753915953094,97.81753915953094,0.6075568097082489,0.0904224520916678,1.377374005590106,error_floor_sweep_only_no_measurement_validation
0.27,POLY_DEG2,3,215.02702284032605,221.02702284032605,221.26534746536555,0.6075568097082489,0.0904224520916678,1.377374005590106,error_floor_sweep_only_no_measurement_validation
0.27,POLY_DEG3,4,192.69015717018848,200.69015717018848,201.00792333690782,0.6075568097082489,0.0904224520916678,1.377374005590106,error_floor_sweep_only_no_measurement_validation
0.28,K1_NO_MEMORY,0,76.01615914370223,76.01615914370223,76.01615914370223,0.62964029130813,0.0904224520916678,1.4283878576489988,error_floor_sweep_only_no_measurement_validation
0.28,K2_LOCKED_RHO4,0,52.01003367073366,52.01003367073366,52.01003367073366,0.62964029130813,0.0904224520916678,1.4283878576489988,error_floor_sweep_only_no_measurement_validation
0.28,ZERO_RESPONSE_CONTROL,0,91.08130557144548,91.08130557144548,91.08130557144548,0.62964029130813,0.0904224520916678,1.4283878576489988,error_floor_sweep_only_no_measurement_validation
0.28,POLY_DEG2,3,214.09502917431132,220.09502917431132,220.33335379935082,0.62964029130813,0.0904224520916678,1.4283878576489988,error_floor_sweep_only_no_measurement_validation
0.28,POLY_DEG3,4,192.22253610335514,200.22253610335514,200.54030227007448,0.62964029130813,0.0904224520916678,1.4283878576489988,error_floor_sweep_only_no_measurement_validation
0.29,K1_NO_MEMORY,0,70.98544754119544,70.98544754119544,70.98544754119544,0.6517237729080111,0.0904224520916678,1.4794017097078915,error_floor_sweep_only_no_measurement_validation
0.29,K2_LOCKED_RHO4,0,48.60600760252054,48.60600760252054,48.60600760252054,0.6517237729080111,0.0904224520916678,1.4794017097078915,error_floor_sweep_only_no_measurement_validation
0.29,ZERO_RESPONSE_CONTROL,0,85.0298362322235,85.0298362322235,85.0298362322235,0.6517237729080111,0.0904224520916678,1.4794017097078915,error_floor_sweep_only_no_measurement_validation
0.29,POLY_DEG2,3,213.25777627616168,219.25777627616168,219.49610090120117,0.6517237729080111,0.0904224520916678,1.4794017097078915,error_floor_sweep_only_no_measurement_validation
0.29,POLY_DEG3,4,191.80245053011717,199.80245053011717,200.1202166968365,0.6517237729080111,0.0904224520916678,1.4794017097078915,error_floor_sweep_only_no_measurement_validation
0.3,K1_NO_MEMORY,0,66.44937354732497,66.44937354732497,66.44937354732497,0.6738072545078921,0.0904224520916678,1.5304155617667843,error_floor_sweep_only_no_measurement_validation
0.3,K2_LOCKED_RHO4,0,45.53667758670636,45.53667758670636,45.53667758670636,0.6738072545078921,0.0904224520916678,1.5304155617667843,error_floor_sweep_only_no_measurement_validation
0.3,ZERO_RESPONSE_CONTROL,0,79.573369063509,79.573369063509,79.573369063509,0.6738072545078921,0.0904224520916678,1.5304155617667843,error_floor_sweep_only_no_measurement_validation
