RhoCross,ModelID,ModelClass,Rows,PositiveDefinite,ParameterCount,Chi2,AIC,BIC,SignStableViolations,ClaimBoundary
0.35,POLY_DEG3,overfit_risk_control,8,True,4,4.703461868443297,12.703461868443297,13.02122803516264,0,cross_covariance_sensitivity_no_measurement_validation
0.4,K1_NO_MEMORY,fair_null,8,True,0,26.500621250059723,26.500621250059723,26.500621250059723,0,cross_covariance_sensitivity_no_measurement_validation
0.4,K2_LOCKED_RHO4,locked_prediction,8,True,0,21.68920705750676,21.68920705750676,21.68920705750676,0,cross_covariance_sensitivity_no_measurement_validation
0.4,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,31.231778843173757,31.231778843173757,31.231778843173757,5,cross_covariance_sensitivity_no_measurement_validation
0.4,POLY_DEG2,overfit_risk_control,8,True,3,9.57989241869455,15.57989241869455,15.818217043734057,0,cross_covariance_sensitivity_no_measurement_validation
0.4,POLY_DEG3,overfit_risk_control,8,True,4,11.683793465619265,19.683793465619267,20.00155963233861,0,cross_covariance_sensitivity_no_measurement_validation
0.45,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.5,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.55,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.6,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.65,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.7,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.75,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.8,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.85,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
0.9,,,8,False,,,,,,cross_covariance_sensitivity_no_measurement_validation
