Dataset,SigmaRoute,ValidationMode,FoldID,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,ClaimBoundary
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_2,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,2,1.5910038707676004,1.5910038707676004,0.9465749799094426,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_2,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,2,1.2287422672388433,1.2287422672388433,0.8318591570401412,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_2,POLY_DEG2,overfit_risk_control,3,7,1,2,1.0920591903110484,1.0920591903110484,0.7842282664604217,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_2,POLY_DEG3,overfit_risk_control,4,7,1,2,3.42833896868134,3.42833896868134,1.3895087321572828,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_3,K1_NO_MEMORY,fair_null,0,7,1,3,1.9949957391612279,1.9949957391612279,0.121014110537782,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_3,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,3,1.9890041123328586,1.9890041123328586,0.1208322513480738,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_3,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,3,1.9780385354329864,1.9780385354329864,0.1204987109106661,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_3,POLY_DEG2,overfit_risk_control,3,7,1,3,225.65627020339895,225.65627020339895,1.2870301760217076,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_3,POLY_DEG3,overfit_risk_control,4,7,1,3,185.0564818931967,185.0564818931967,1.1655131493061135,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_4,K1_NO_MEMORY,fair_null,0,7,1,4,1.5495954326891697,1.5495954326891697,1.4674035388470796,a2_polynomial_cv_no_measurement_validation
